run_date,product,source_scope,outlet,title,url,main_topic,briefing_relevance,quality,noise_type,reason
2026-06-13,nacional,nac-biz,Ciper,Adultos Mayores con demencia y justicia: una brecha que Chile debe cerrar,https://www.ciperchile.cl/2026/06/13/adultos-mayores-con-demencia-y-justicia-una-brecha-que-chile-debe-cerrar,salud,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,Ciper,Justicia sexual: una tarea urgente en tiempos de retroceso,https://www.ciperchile.cl/2026/06/13/justicia-sexual-una-tarea-urgente-en-tiempos-de-retroceso,educacion,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,Ciper,Los 90 días de Kast,https://www.ciperchile.cl/2026/06/12/los-90-dias-de-kast,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,El Mostrador,AquÃ­ Regiones,https://www.elmostrador.cl/aqui-regiones,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,El Mostrador,AquÃ­ Arica,https://www.elmostrador.cl/aqui-arica,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,El Mostrador,AquÃ­ BiobÃ­o,https://www.elmostrador.cl/aqui-biobio,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,El Mostrador,AquÃ­ Coquimbo,https://www.elmostrador.cl/aqui-coquimbo,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,El Mostrador,AquÃ­ Los RÃ­os,https://www.elmostrador.cl/aqui-los-rios,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,El Mostrador,AquÃ­ Magallanes,https://www.elmostrador.cl/aqui-magallanes,internacional,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,nacional,nac-biz,El Mostrador,AquÃ­ ValparaÃ­so,https://www.elmostrador.cl/aqui-valparaiso,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
